==Пиротехника==
Особые химикаты, которые зачастую срабатывают сразу же при смешивании, предоставляя различные эффекты на окружении.
{| class="wikitable sortable"
! scope="col" style="width:150px; background-color:#FFDD66;" |Название
! class="unsortable" scope="col" style="width:150px; background-color:#FFDD66;" |Формула
! class="unsortable" scope="col" style="background-color:#FFDD66;" |Описание
! scope="col" style="width:100px; background-color:#FFDD66;" |Скорость метаболизации
|-
! style="background-color:#FFEE88;" |{{anchor|Stabilizing Agent}}Stabilizing Agent <span style="color:#FFFF00;background-color:white">▮</span>
|{{RecursiveChem/Stabilizing Agent}}
|Если смешать с некоторыми видами пиротехники, стабилизирует реакцию и предотвращает её для использование позже. Стабилизирующий агент не потребляется при стабилизации взрывчатки, а одной единицы агента хватает, чтобы стабилизировать любое её количество. Также превращает плазму в стабильную плазму (которая и так есть уже в раздатчике), если смешать в соотношении 1:1.'''Это не работает на всём, имейте это в виду!'''
Также уменьшает нестабильность растений.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Fluorosurfactant}}Fluorosurfactant <span style="color:#9E6B38;background-color:white">▮</span>
|{{RecursiveChem/Fluorosurfactant}}
|Создает большое количество пены, если смешать с равным количеством воды. Эта пена может переносить любое другое вещество, смешанное с ней в том же контейнере, что позволяет применить это вещество на большой площади. Пена распространит вещество на любую поверхность, будь то пол, объекты или существа. Вещество будет проникать в организм через открытые участки кожи, если те не защищены спецодеждой (скафандры, костюм биозащиты, медицинские костюм). Пена очень скользкая!
Не реагирует внутри тела.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Smoke}}{{anchor|Smoke Powder}}Smoke <span style="color:#C8C8C8;background-color:white">▮</span>
|{{RecursiveChem/Smoke}}
|Создает большое облако дыма, которое переносит все вещества в том же контейнера по площади. Вещества будут переноситься всему, до чего касается дым. Люди, попавшие в дым, и которые на надели маску и баллон, будут "переваривать" вещества, что содержит дым. Отлично подходит для распространения токсинов в толпе людей.
Может быть стабилизировано в Smoke Powder при помощи [[#Stabilizing Agent|Stabilizing Agent]], после чего нужно нагреть до 374K для активации.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Flash Powder}}Flash Powder <span style="color:#C8C8C8;background-color:white">▮</span>
|{{RecursiveChem/Flash Powder}}
|Создаёт яркую вспышку, мощность которой зависит от количества взорванного вещества.
Может быть стабилизирована при помощи [[#Stabilizing Agent|Stabilizing Agent]]. Стабилизированное вещество требуется нагреть до 374К, чтобы активировать.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Phlogiston}}Phlogiston <span style="color:#FA00AF;background-color:white">▮</span>
|1 part Phosphorus<br>1 part Acid<br>1 part Stable Plasma
|Превращается в плазменный пожар, если не стабилизировано во время реакции. Заставляет гореть дольше и воспламеняет вас. Наносит увеличивающийся урон ожогами в зависимости от того, сколько времени вы находитесь под действием вещества (на 6 единиц урона каждые 2 секунды).
Может быть стабилизировано при помощи [[#Stabilizing Agent|Stabilizing Agent]].
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Napalm}}Napalm <span style="color:#FA00AF;background-color:white">▮</span>
|1 part Oil<br>1 part Fuel<br>1 part Ethanol
|Субстанция, которая горит намного дольше большинства видов топлива. Вколите вещество и нагрейте человека, чтобы превратить его в живой огненный шар.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Sonic Powder}}Sonic Powder <span style="color:#C8C8C8;background-color:white">▮</span>
|{{RecursiveChem/Sonic Powder}}
|Вызывает глухоту в радиусе, который зависит от количества взорванного вещества.
Может быть стабилизировано при помощи [[#Stabilizing Agent|Stabilizing Agent]]. Стабилизированное вещество нужно нагреть до 374К, чтобы активировать.
|0.4 units за тик
|-
! style="background-color:#FFEE88;" |{{anchor|Pyrosium}}Pyrosium <span style="color:#64FAC8;background-color:white">▮</span>
|1 part Pyrosium<br>1 part Oxygen
|При первоначальной реакции охлаждается до 20К. Мгновенно потребляет весь жидкий кислород в контейнере и разогревается. Этот эффект не зависит от количества Pyrosium в контейнере - одна его единица работает так же, как 50. Ничего не происходит, пока не смешать с жидким кислородом. Если ввести в организм, то вещество потребляет 0.5 единицы кислорода каждый тик и нагревает тело на 15 градусов.
|0.5 units за тик
|-
